MAPID,LATITUDE,LONGITUDE,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
DFPB0191,49.21959786,-123.1414913,,Parks,,,
DFPB0138,49.25825427,-123.049751,12th and slocan ,Parks,spring to fall,,
DFPB0139,49.244294,-123.048373,near playground,Parks,spring to fall,,
DFPB0140,49.277484,-123.222396,on north wall of washrooms,Parks,spring to fall,,
DFPB0162,49.29103356,-123.1453797,Park Board Office,Parks,year-round,,
DFPB0159,49.29906298,-123.1242914,Brockton Clubhouse,Parks,,,
DFPB0155,49.29964942,-123.1261535,brockton oval,Parks,spring to fall,,
DFPB0158,49.30076903,-123.117131,Brockton point - lighthouse,Parks,spring to fall,,
DFPB0145,49.29364531,-123.1487216,Ceperley washrooms,Parks,spring to fall,,
DFPB0161,49.29252452,-123.1446767,Beside Dog off-leash area,Parks,spring to fall,,
DFPB0160,49.291473,-123.1469044,Lawn Bowling,Parks,spring to fall,,
DFPB0154,49.2995278,-123.1213001,Legends Of The Moon - Washroom,Parks,,,
DFPB0142,49.303,-123.130695,Lumbermen's Arch,Parks,year-round,,
DFPB0186,49.299024,-123.1341595,,Parks,,,
DFPB0141,49.31338243,-123.1424526,Prospect Point viewing,Parks,spring to fall,,
DFPB0156,49.31061794,-123.1482033,Prospect Point picnic area,Parks,spring to fall,,
DFPB0147,49.31238769,-123.1427305,prospect point washrooms,Parks,spring to fall,,
DFPB0149,49.293007,-123.146487,Pitch and Putt Course,Parks,,,
DFPB0151,49.29487899,-123.1500274,Second Beach,Parks,year-round,,
DFPB0152,49.2954672,-123.151056,Second Beach pool deck,Parks,spring to fall,,
DFPB0144,49.29787035,-123.1349864,Rose Garden playground,Parks,,,
DFPB0157,49.29949964,-123.1338049,pavillion outside washrooms,Parks,,,
DFPB0143,49.29221962,-123.1460125,near Tennis Courts & Fish House,Parks,year-round,,
DFPB0153,49.303156,-123.156335,Third beach seawall,Parks,spring to fall,,
DFPB0146,49.292239,-123.147,W - side of Fish House,Parks,spring to fall,,
DFPB0150,49.29895138,-123.1206901,Totem poles,Parks,,,
DFPB0148,49.3015616,-123.134529,,Parks,,,
DFPB0163,49.27590962,-123.0855772,besides basketball court,Parks,spring to fall,,
DFPB0164,49.274827,-123.086689,besides baseball diamond,Parks,spring to fall,,
DFPB0165,49.266893,-123.035669,N-side of wading pool,Parks,spring to fall,,
DFPB0066,49.278896,-123.13802,on building wall ,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg
DFPB0167,49.2228493,-123.0964822,front of wading pool,Parks,spring to fall,,
DFPB0168,49.269121,-123.134031,S-side of false creek communit,Parks,spring to fall,,
DFPB0169,49.257356,-123.09859,NE corner of park,Parks,spring to fall,,
DFPB0170,49.2296077,-123.070191,middle of park,Parks,spring to fall,,
DFPB0171,49.228371,-123.118266,near North baseball diamond,Parks,spring to fall,,
DFPB0172,49.251273,-123.163837,E-side of wading pool,Parks,spring to fall,,
DFPB0173,49.2749603,-123.093122,on west side of building ,Parks,spring to fall,,
DFPB0187,49.26051909,-123.0501348,NE of the sport field,Parks,,,
DFPB0175,49.2394013,-123.129439,near reflecting pond,Parks,spring to fall,,
DFPB0174,49.2386154,-123.129939,upper gardens,Parks,spring to fall,,
DFPB0176,49.275112,-123.139769,,Parks,year-round,,
DFPB0177,49.27161297,-123.0667623,adjacent to children's play area,Parks,spring to fall,,Victoria Park - drinking fountain - 2007.JPG
